description,severity
building fire,HIGH
house fire,HIGH
gas explosion,HIGH
factory fire,HIGH
chemical explosion,HIGH
major fire,HIGH
warehouse fire,HIGH
forest fire,HIGH
building fire,HIGH
house fire,HIGH
gas explosion,HIGH
factory fire,HIGH
chemical explosion,HIGH
major fire,HIGH
warehouse fire,HIGH
forest fire,HIGH
building fire,HIGH
house fire,HIGH
gas explosion,HIGH
factory fire,HIGH
chemical explosion,HIGH
major fire,HIGH
warehouse fire,HIGH
forest fire,HIGH
building fire,HIGH
house fire,HIGH
gas explosion,HIGH
factory fire,HIGH
chemical explosion,HIGH
major fire,HIGH
warehouse fire,HIGH
forest fire,HIGH
building fire,HIGH
house fire,HIGH
gas explosion,HIGH
factory fire,HIGH
chemical explosion,HIGH
major fire,HIGH
warehouse fire,HIGH
forest fire,HIGH
building fire,HIGH
house fire,HIGH
gas explosion,HIGH
factory fire,HIGH
chemical explosion,HIGH
major fire,HIGH
warehouse fire,HIGH
forest fire,HIGH
building fire,HIGH
house fire,HIGH
gas explosion,HIGH
factory fire,HIGH
chemical explosion,HIGH
major fire,HIGH
warehouse fire,HIGH
forest fire,HIGH
building fire,HIGH
house fire,HIGH
gas explosion,HIGH
factory fire,HIGH
chemical explosion,HIGH
major fire,HIGH
warehouse fire,HIGH
forest fire,HIGH
building fire,HIGH
house fire,HIGH
gas explosion,HIGH
factory fire,HIGH
chemical explosion,HIGH
major fire,HIGH
warehouse fire,HIGH
forest fire,HIGH
building fire,HIGH
house fire,HIGH
gas explosion,HIGH
factory fire,HIGH
chemical explosion,HIGH
major fire,HIGH
warehouse fire,HIGH
forest fire,HIGH
building fire,HIGH
house fire,HIGH
gas explosion,HIGH
factory fire,HIGH
chemical explosion,HIGH
major fire,HIGH
warehouse fire,HIGH
forest fire,HIGH
building fire,HIGH
house fire,HIGH
gas explosion,HIGH
factory fire,HIGH
chemical explosion,HIGH
major fire,HIGH
warehouse fire,HIGH
forest fire,HIGH
building fire,HIGH
house fire,HIGH
gas explosion,HIGH
factory fire,HIGH
chemical explosion,HIGH
major fire,HIGH
warehouse fire,HIGH
forest fire,HIGH
building fire,HIGH
house fire,HIGH
gas explosion,HIGH
factory fire,HIGH
chemical explosion,HIGH
major fire,HIGH
warehouse fire,HIGH
forest fire,HIGH
building fire,HIGH
house fire,HIGH
gas explosion,HIGH
factory fire,HIGH
chemical explosion,HIGH
major fire,HIGH
warehouse fire,HIGH
forest fire,HIGH
building fire,HIGH
house fire,HIGH
gas explosion,HIGH
factory fire,HIGH
chemical explosion,HIGH
major fire,HIGH
warehouse fire,HIGH
forest fire,HIGH
building fire,HIGH
house fire,HIGH
gas explosion,HIGH
factory fire,HIGH
chemical explosion,HIGH
major fire,HIGH
warehouse fire,HIGH
forest fire,HIGH
building fire,HIGH
house fire,HIGH
gas explosion,HIGH
factory fire,HIGH
chemical explosion,HIGH
major fire,HIGH
warehouse fire,HIGH
forest fire,HIGH
building fire,HIGH
house fire,HIGH
gas explosion,HIGH
factory fire,HIGH
chemical explosion,HIGH
major fire,HIGH
warehouse fire,HIGH
forest fire,HIGH
building fire,HIGH
house fire,HIGH
gas explosion,HIGH
factory fire,HIGH
chemical explosion,HIGH
major fire,HIGH
warehouse fire,HIGH
forest fire,HIGH
building fire,HIGH
house fire,HIGH
